Resource01;{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource27, Resource01};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource12;{Resource12_dummy};{Resource12_dummy};{Resource12, Resource06, Resource23, Resource22};{Resource23, Resource09, Resource03, Resource12, Resource06, Resource22};{Resource06, Resource14, Resource09, Resource23, Resource03, Resource22, Resource12};{Resource14, Resource12, Resource21, Resource06, Resource03, Resource13, Resource04, Resource09, Resource23, Resource22};{Resource09, Resource23, Resource14, Resource21, Resource05, Resource06, Resource03, Resource13, Resource04, Resource11, Resource12, Resource22};{Resource14, Resource12, Resource21, Resource05, Resource06, Resource03, Resource13, Resource43, Resource04, Resource09, Resource23, Resource07, Resource11, Resource22};{Resource02, Resource21, Resource05, Resource06, Resource13, Resource39, Resource43, Resource04, Resource09, Resource07, Resource23, Resource14, Resource03, Resource11, Resource12, Resource22};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource13;{Resource13_dummy};{Resource13_dummy};{Resource13_dummy};{Resource13, Resource21};{Resource13, Resource21, Resource04};{Resource14, Resource12, Resource21, Resource06, Resource03, Resource13, Resource04, Resource09, Resource23, Resource22};{Resource09, Resource23, Resource14, Resource21, Resource05, Resource06, Resource03, Resource13, Resource04, Resource11, Resource12, Resource22};{Resource14, Resource12, Resource21, Resource05, Resource06, Resource03, Resource13, Resource43, Resource04, Resource09, Resource23, Resource07, Resource11, Resource22};{Resource02, Resource21, Resource05, Resource06, Resource13, Resource39, Resource43, Resource04, Resource09, Resource07, Resource23, Resource14, Resource03, Resource11, Resource12, Resource22};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource14;{Resource14_dummy};{Resource14_dummy};{Resource14_dummy};{Resource14_dummy};{Resource06, Resource14, Resource09, Resource23, Resource03, Resource22, Resource12};{Resource14, Resource12, Resource21, Resource06, Resource03, Resource13, Resource04, Resource09, Resource23, Resource22};{Resource09, Resource23, Resource14, Resource21, Resource05, Resource06, Resource03, Resource13, Resource04, Resource11, Resource12, Resource22};{Resource14, Resource12, Resource21, Resource05, Resource06, Resource03, Resource13, Resource43, Resource04, Resource09, Resource23, Resource07, Resource11, Resource22};{Resource02, Resource21, Resource05, Resource06, Resource13, Resource39, Resource43, Resource04, Resource09, Resource07, Resource23, Resource14, Resource03, Resource11, Resource12, Resource22};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource15;{Resource15_dummy};{Resource15_dummy};{Resource15, Resource26, Resource29};{Resource35, Resource15, Resource29, Resource26, Resource19};{Resource35, Resource15, Resource17, Resource26, Resource29, Resource19};{Resource35, Resource26, Resource29, admin3, Resource15, Resource17, Resource10, Resource19, Resource38};{Resource35, Resource25, Resource26, Resource29, admin3, Resource34, Resource24, Resource15, Resource32, Resource17, Resource10, Resource19, Resource38};{Resource35, Resource25, Resource26, Resource29, admin3, Resource34, Resource24, Resource15, Resource32, Resource18, Resource17, Resource20, Resource10, Resource19, Resource38};{Resource25, Resource26, admin3, Resource34, Resource32, Resource17, Resource20, Resource19, Resource38, admin1, Resource35, Resource29, Resource24, Resource15, Resource18, Resource08, Resource10};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource16;{Resource16_dummy};{Resource16_dummy};{Resource16_dummy};{Resource16_dummy};{Resource16_dummy};{Resource16_dummy};{Resource16_dummy};{Resource16_dummy};{Resource16_dummy};{Resource16_dummy};{Resource16_dummy};{Resource16_dummy};{Resource16_dummy};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource17;{Resource17_dummy};{Resource17_dummy};{Resource17_dummy};{Resource17_dummy};{Resource35, Resource15, Resource17, Resource26, Resource29, Resource19};{Resource35, Resource26, Resource29, admin3, Resource15, Resource17, Resource10, Resource19, Resource38};{Resource35, Resource25, Resource26, Resource29, admin3, Resource34, Resource24, Resource15, Resource32, Resource17, Resource10, Resource19, Resource38};{Resource35, Resource25, Resource26, Resource29, admin3, Resource34, Resource24, Resource15, Resource32, Resource18, Resource17, Resource20, Resource10, Resource19, Resource38};{Resource25, Resource26, admin3, Resource34, Resource32, Resource17, Resource20, Resource19, Resource38, admin1, Resource35, Resource29, Resource24, Resource15, Resource18, Resource08, Resource10};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource18;{Resource18_dummy};{Resource18_dummy};{Resource18_dummy};{Resource18_dummy};{Resource18_dummy};{Resource18_dummy};{Resource20, Resource18};{Resource35, Resource25, Resource26, Resource29, admin3, Resource34, Resource24, Resource15, Resource32, Resource18, Resource17, Resource20, Resource10, Resource19, Resource38};{Resource25, Resource26, admin3, Resource34, Resource32, Resource17, Resource20, Resource19, Resource38, admin1, Resource35, Resource29, Resource24, Resource15, Resource18, Resource08, Resource10};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource19;{Resource19_dummy};{Resource19_dummy};{Resource35, Resource19};{Resource35, Resource15, Resource29, Resource26, Resource19};{Resource35, Resource15, Resource17, Resource26, Resource29, Resource19};{Resource35, Resource26, Resource29, admin3, Resource15, Resource17, Resource10, Resource19, Resource38};{Resource35, Resource25, Resource26, Resource29, admin3, Resource34, Resource24, Resource15, Resource32, Resource17, Resource10, Resource19, Resource38};{Resource35, Resource25, Resource26, Resource29, admin3, Resource34, Resource24, Resource15, Resource32, Resource18, Resource17, Resource20, Resource10, Resource19, Resource38};{Resource25, Resource26, admin3, Resource34, Resource32, Resource17, Resource20, Resource19, Resource38, admin1, Resource35, Resource29, Resource24, Resource15, Resource18, Resource08, Resource10};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource20;{Resource20_dummy};{Resource20_dummy};{Resource20_dummy};{Resource20_dummy};{Resource20_dummy};{Resource20_dummy};{Resource20, Resource18};{Resource35, Resource25, Resource26, Resource29, admin3, Resource34, Resource24, Resource15, Resource32, Resource18, Resource17, Resource20, Resource10, Resource19, Resource38};{Resource25, Resource26, admin3, Resource34, Resource32, Resource17, Resource20, Resource19, Resource38, admin1, Resource35, Resource29, Resource24, Resource15, Resource18, Resource08, Resource10};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource21;{Resource21_dummy};{Resource21_dummy};{Resource21_dummy};{Resource13, Resource21};{Resource13, Resource21, Resource04};{Resource14, Resource12, Resource21, Resource06, Resource03, Resource13, Resource04, Resource09, Resource23, Resource22};{Resource09, Resource23, Resource14, Resource21, Resource05, Resource06, Resource03, Resource13, Resource04, Resource11, Resource12, Resource22};{Resource14, Resource12, Resource21, Resource05, Resource06, Resource03, Resource13, Resource43, Resource04, Resource09, Resource23, Resource07, Resource11, Resource22};{Resource02, Resource21, Resource05, Resource06, Resource13, Resource39, Resource43, Resource04, Resource09, Resource07, Resource23, Resource14, Resource03, Resource11, Resource12, Resource22};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource22;{Resource22_dummy};{Resource23, Resource06, Resource22};{Resource12, Resource06, Resource23, Resource22};{Resource23, Resource09, Resource03, Resource12, Resource06, Resource22};{Resource06, Resource14, Resource09, Resource23, Resource03, Resource22, Resource12};{Resource14, Resource12, Resource21, Resource06, Resource03, Resource13, Resource04, Resource09, Resource23, Resource22};{Resource09, Resource23, Resource14, Resource21, Resource05, Resource06, Resource03, Resource13, Resource04, Resource11, Resource12, Resource22};{Resource14, Resource12, Resource21, Resource05, Resource06, Resource03, Resource13, Resource43, Resource04, Resource09, Resource23, Resource07, Resource11, Resource22};{Resource02, Resource21, Resource05, Resource06, Resource13, Resource39, Resource43, Resource04, Resource09, Resource07, Resource23, Resource14, Resource03, Resource11, Resource12, Resource22};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
